evento,driver,codice,prob_mercato,volume,data
Hungarian Grand Prix: Driver Pole Position,Kimi Antonelli,ANT,0.0005,42805.23561399998,2026-06-27
Hungarian Grand Prix: Driver Pole Position,Franco Colapinto,COL,0.0005,378.96899999999994,2026-06-27
Hungarian Grand Prix: Driver Pole Position,Carlos Sainz Jr.,SAI,0.0005,398.7514999999999,2026-06-27
Hungarian Grand Prix: Driver Pole Position,Nico Hulkenberg,HUL,0.0005,373.96099999999984,2026-06-27
Hungarian Grand Prix: Driver Pole Position,Valtteri Bottas,BOT,0.0005,398.98249999999996,2026-06-27
Hungarian Grand Prix: Driver Pole Position,Lewis Hamilton,HAM,0.0005,39627.489429,2026-06-27
Hungarian Grand Prix: Driver Pole Position,Oliver Bearman,BEA,0.0005,408.979,2026-06-27
Hungarian Grand Prix: Driver Pole Position,Oscar Piastri,PIA,0.0005,10625.238478,2026-06-27
Hungarian Grand Prix: Driver Pole Position,Arvid Lindblad,LIN,0.0005,373.9795,2026-06-27
Hungarian Grand Prix: Driver Pole Position,Isack Hadjar,HAD,0.0005,1980.2157110000003,2026-06-27
Hungarian Grand Prix: Driver Pole Position,Liam Lawson,LAW,0.0005,323.9825,2026-06-27
Hungarian Grand Prix: Driver Pole Position,Lance Stroll,STR,0.0005,395.0784999999999,2026-06-27
Hungarian Grand Prix: Constructor Pole Position,Audi Revolut,,0.0005,367.71149999999994,2026-06-27
Hungarian Grand Prix: Constructor Pole Position,Tgr Haas,,0.0005,368.562333,2026-06-27
