evento,tipo,driver,codice,prob_raw,prob_novig,volume,data
Hungarian Grand Prix: Driver Fastest Lap,altro,Gabriel Bortoleto,BOR,0.0155,0.0122,55,2026-06-27
Hungarian Grand Prix: Driver Fastest Lap,altro,Oliver Bearman,BEA,0.0155,0.0122,55,2026-06-27
Hungarian Grand Prix: Driver Fastest Lap,altro,Pierre Gasly,GAS,0.0105,0.0083,55,2026-06-27
Hungarian Grand Prix: Driver Fastest Lap,altro,Fernando Alonso,ALO,0.0105,0.0083,101.69,2026-06-27
Hungarian Grand Prix: Driver Fastest Lap,altro,Alexander Albon,ALB,0.0105,0.0083,55,2026-06-27
Hungarian Grand Prix: Driver Fastest Lap,altro,Sergio Perez,PER,0.0105,0.0083,75.69,2026-06-27
Hungarian Grand Prix: Driver Fastest Lap,altro,Esteban Ocon,OCO,0.0105,0.0083,55,2026-06-27
Hungarian Grand Prix: Driver Fastest Lap,altro,Franco Colapinto,COL,0.0105,0.0083,89,2026-06-27
Hungarian Grand Prix: Driver Fastest Lap,altro,Carlos Sainz Jr.,SAI,0.0105,0.0083,55,2026-06-27
Hungarian Grand Prix: Driver Fastest Lap,altro,Valtteri Bottas,BOT,0.0105,0.0083,55,2026-06-27
Hungarian Grand Prix: Driver Fastest Lap,altro,Lance Stroll,STR,0.0105,0.0083,55,2026-06-27
Hungarian Grand Prix: Driver Fastest Lap,altro,Nico Hulkenberg,HUL,0.01,0.0079,55,2026-06-27
