evento,driver,codice,prob_mercato,volume,data
Hungarian Grand Prix: Which Constructor Scores 1st?,Ferrari,,0.495,,2026-06-27
Hungarian Grand Prix: Which Constructor Scores 1st?,Mercedes,,0.495,,2026-06-27
Hungarian Grand Prix: Which Constructor Scores 1st?,Racing Bulls,,0.495,,2026-06-27
Hungarian Grand Prix: Constructor Pole Position,Racing Bulls,,0.495,,2026-06-27
Hungarian Grand Prix: Constructor Fastest Lap,Williams,,0.495,,2026-06-27
Hungarian Grand Prix: Constructor Fastest Lap,Cadillac,,0.495,,2026-06-27
Hungarian Grand Prix: Constructor Fastest Lap,Tgr Haas,,0.495,,2026-06-27
Hungarian Grand Prix: Constructor Fastest Lap,Mercedes,,0.495,,2026-06-27
Hungarian Grand Prix: Driver Podium Finish,Pierre Gasly,GAS,0.495,,2026-06-27
Hungarian Grand Prix: Driver Podium Finish,Fernando Alonso,ALO,0.495,,2026-06-27
Hungarian Grand Prix: Driver Podium Finish,Sergio Perez,PER,0.495,,2026-06-27
Hungarian Grand Prix: Driver Podium Finish,Charles Leclerc,LEC,0.495,,2026-06-27
Hungarian Grand Prix: Driver Podium Finish,Esteban Ocon,OCO,0.495,,2026-06-27
Hungarian Grand Prix: Driver Podium Finish,Lando Norris,NOR,0.495,,2026-06-27
Hungarian Grand Prix: Driver Podium Finish,Kimi Antonelli,ANT,0.495,,2026-06-27
Hungarian Grand Prix: Driver Podium Finish,Franco Colapinto,COL,0.495,,2026-06-27
Hungarian Grand Prix: Driver Podium Finish,Nico Hulkenberg,HUL,0.495,,2026-06-27
Hungarian Grand Prix: Driver Podium Finish,Lewis Hamilton,HAM,0.495,,2026-06-27
Hungarian Grand Prix: Driver Podium Finish,Oliver Bearman,BEA,0.495,,2026-06-27
Hungarian Grand Prix: Driver Podium Finish,Oscar Piastri,PIA,0.495,,2026-06-27
Hungarian Grand Prix: Driver Podium Finish,George Russell,RUS,0.495,,2026-06-27
Hungarian Grand Prix: Driver Podium Finish,Arvid Lindblad,LIN,0.495,,2026-06-27
Hungarian Grand Prix: Driver Podium Finish,Liam Lawson,LAW,0.495,,2026-06-27
Hungarian Grand Prix: Driver Podium Finish,Lance Stroll,STR,0.495,,2026-06-27
Borchetta Bourbon Music City Grand Prix: Race Winner,Kyle Kirkwood,,0.495,,2026-07-06
Borchetta Bourbon Music City Grand Prix: Race Winner,Marcus Ericsson,,0.495,,2026-07-06
Borchetta Bourbon Music City Grand Prix: Race Winner,Josef Newgarden,,0.495,,2026-07-06
Borchetta Bourbon Music City Grand Prix: Race Winner,Romain Grosjean,,0.495,,2026-07-06
Borchetta Bourbon Music City Grand Prix: Race Winner,Rinus Veekay,,0.495,,2026-07-06
Borchetta Bourbon Music City Grand Prix: Race Winner,Marcus Armstrong,,0.495,,2026-07-06
Borchetta Bourbon Music City Grand Prix: Race Winner,Felix Rosenqvist,,0.495,,2026-07-06
Borchetta Bourbon Music City Grand Prix: Race Winner,David Malukas,,0.495,,2026-07-06
Borchetta Bourbon Music City Grand Prix: Race Winner,Louis Foster,,0.495,,2026-07-06
Borchetta Bourbon Music City Grand Prix: Race Winner,Alexander Rossi,,0.495,,2026-07-06
Borchetta Bourbon Music City Grand Prix: Race Winner,Graham Rahal,,0.495,,2026-07-06
Borchetta Bourbon Music City Grand Prix: Race Winner,Nolan Siegel,,0.495,,2026-07-06
Borchetta Bourbon Music City Grand Prix: Race Winner,Sting Robb,,0.495,,2026-07-06
Borchetta Bourbon Music City Grand Prix: Race Winner,Will Power,,0.495,,2026-07-06
Borchetta Bourbon Music City Grand Prix: Race Winner,Scott Dixon,,0.495,,2026-07-06
Borchetta Bourbon Music City Grand Prix: Race Winner,Santino Ferrucci,,0.495,,2026-07-06
Borchetta Bourbon Music City Grand Prix: Race Winner,Mick Schumacher,,0.495,,2026-07-06
Borchetta Bourbon Music City Grand Prix: Race Winner,Caio Collet,,0.495,,2026-07-06
Borchetta Bourbon Music City Grand Prix: Race Winner,Dennis Hauger,,0.495,,2026-07-06
Borchetta Bourbon Music City Grand Prix: Race Winner,Jacob Abel,,0.495,,2026-07-06
Borchetta Bourbon Music City Grand Prix: Race Winner,Ed Carpenter,,0.495,,2026-07-06
Borchetta Bourbon Music City Grand Prix: Race Winner,Helio Castroneves,,0.495,,2026-07-06
Borchetta Bourbon Music City Grand Prix: Race Winner,Conor Daly,,0.495,,2026-07-06
Borchetta Bourbon Music City Grand Prix: Race Winner,Jack Harvey,,0.495,,2026-07-06
Borchetta Bourbon Music City Grand Prix: Race Winner,Ryan Hunter-Reay,,0.495,,2026-07-06
Borchetta Bourbon Music City Grand Prix: Race Winner,Katherine Legge,,0.495,,2026-07-06
Borchetta Bourbon Music City Grand Prix: Race Winner,Takuma Sato,,0.495,,2026-07-06
Borchetta Bourbon Music City Grand Prix: Pole Position,Alex Palou,,0.495,,2026-07-06
Borchetta Bourbon Music City Grand Prix: Pole Position,Scott McLaughlin,,0.495,,2026-07-06
Borchetta Bourbon Music City Grand Prix: Pole Position,Christian Lundgaard,,0.495,,2026-07-06
Borchetta Bourbon Music City Grand Prix: Pole Position,Patricio O'Ward,,0.495,,2026-07-06
Borchetta Bourbon Music City Grand Prix: Pole Position,Marcus Ericsson,,0.495,,2026-07-06
Borchetta Bourbon Music City Grand Prix: Pole Position,Josef Newgarden,,0.495,,2026-07-06
Borchetta Bourbon Music City Grand Prix: Pole Position,Romain Grosjean,,0.495,,2026-07-06
Borchetta Bourbon Music City Grand Prix: Pole Position,Marcus Armstrong,,0.495,,2026-07-06
Borchetta Bourbon Music City Grand Prix: Pole Position,Felix Rosenqvist,,0.495,,2026-07-06
Borchetta Bourbon Music City Grand Prix: Pole Position,David Malukas,,0.495,,2026-07-06
Borchetta Bourbon Music City Grand Prix: Pole Position,Louis Foster,,0.495,,2026-07-06
Borchetta Bourbon Music City Grand Prix: Pole Position,Kyffin Simpson,,0.495,,2026-07-06
Borchetta Bourbon Music City Grand Prix: Pole Position,Alexander Rossi,,0.495,,2026-07-06
Borchetta Bourbon Music City Grand Prix: Pole Position,Graham Rahal,,0.495,,2026-07-06
Borchetta Bourbon Music City Grand Prix: Pole Position,Nolan Siegel,,0.495,,2026-07-06
Borchetta Bourbon Music City Grand Prix: Pole Position,Sting Robb,,0.495,,2026-07-06
Borchetta Bourbon Music City Grand Prix: Pole Position,Will Power,,0.495,,2026-07-06
Borchetta Bourbon Music City Grand Prix: Pole Position,Scott Dixon,,0.495,,2026-07-06
Borchetta Bourbon Music City Grand Prix: Pole Position,Santino Ferrucci,,0.495,,2026-07-06
Borchetta Bourbon Music City Grand Prix: Pole Position,Mick Schumacher,,0.495,,2026-07-06
Borchetta Bourbon Music City Grand Prix: Pole Position,Caio Collet,,0.495,,2026-07-06
Borchetta Bourbon Music City Grand Prix: Pole Position,Dennis Hauger,,0.495,,2026-07-06
Borchetta Bourbon Music City Grand Prix: Pole Position,Jacob Abel,,0.495,,2026-07-06
Borchetta Bourbon Music City Grand Prix: Pole Position,Ed Carpenter,,0.495,,2026-07-06
Borchetta Bourbon Music City Grand Prix: Pole Position,Helio Castroneves,,0.495,,2026-07-06
Borchetta Bourbon Music City Grand Prix: Pole Position,Conor Daly,,0.495,,2026-07-06
Borchetta Bourbon Music City Grand Prix: Pole Position,Jack Harvey,,0.495,,2026-07-06
Borchetta Bourbon Music City Grand Prix: Pole Position,Ryan Hunter-Reay,,0.495,,2026-07-06
Borchetta Bourbon Music City Grand Prix: Pole Position,Katherine Legge,,0.495,,2026-07-06
Belgian Grand Prix: Driver Pole Position,Fernando Alonso,ALO,0.49,,2026-06-20
Belgian Grand Prix: Driver Pole Position,Gabriel Bortoleto,BOR,0.49,,2026-06-20
Belgian Grand Prix: Driver Pole Position,Nico Hulkenberg,HUL,0.49,,2026-06-20
Belgian Grand Prix: Driver Pole Position,Liam Lawson,LAW,0.49,,2026-06-20
Belgian Grand Prix: Constructor Pole Position,Ferrari,,0.49,,2026-06-20
Belgian Grand Prix: Constructor Pole Position,Red Bull,,0.49,,2026-06-20
Belgian Grand Prix: Constructor Fastest Lap,Alpine,,0.49,,2026-06-20
Belgian Grand Prix: Practice 2 Fastest Lap,Fernando Alonso,ALO,0.49,,2026-06-20
Belgian Grand Prix: Practice 3 Fastest Lap,Kimi Antonelli,ANT,0.49,,2026-06-20
Belgian Grand Prix: Practice 3 Fastest Lap,Liam Lawson,LAW,0.49,,2026-06-20
Hungarian Grand Prix: Which Constructor Scores 1st?,Cadillac,,0.49,,2026-06-27
Hungarian Grand Prix: Which Constructor Scores 1st?,Tgr Haas,,0.49,,2026-06-27
Hungarian Grand Prix: Which Constructor Scores 1st?,Red Bull,,0.49,,2026-06-27
Hungarian Grand Prix: Constructor Fastest Lap,Alpine,,0.49,,2026-06-27
Hungarian Grand Prix: Constructor Fastest Lap,Audi Revolut,,0.49,,2026-06-27
Hungarian Grand Prix: Constructor Fastest Lap,Ferrari,,0.49,,2026-06-27
Hungarian Grand Prix: Constructor Fastest Lap,Red Bull,,0.49,,2026-06-27
Hungarian Grand Prix: Constructor Fastest Lap,Racing Bulls,,0.49,,2026-06-27
Borchetta Bourbon Music City Grand Prix: Race Winner,Alex Palou,,0.49,,2026-07-06
