evento,driver,codice,prob_mercato,volume,data
Hungarian Grand Prix: Practice 1 Fastest Lap,Gabriel Bortoleto,BOR,0.435,,2026-06-27
Hungarian Grand Prix: Practice 1 Fastest Lap,Max Verstappen,VER,0.435,,2026-06-27
Hungarian Grand Prix: Practice 1 Fastest Lap,Oscar Piastri,PIA,0.435,,2026-06-27
Hungarian Grand Prix: Practice 1 Fastest Lap,Isack Hadjar,HAD,0.435,,2026-06-27
Hungarian Grand Prix: Practice 1 Fastest Lap,Lance Stroll,STR,0.435,,2026-06-27
Hungarian Grand Prix: Practice 2 Fastest Lap,Isack Hadjar,HAD,0.435,,2026-06-27
Hungarian Grand Prix: Practice 3 Fastest Lap,Sergio Perez,PER,0.435,,2026-06-27
Hungarian Grand Prix: Practice 3 Fastest Lap,Arvid Lindblad,LIN,0.435,,2026-06-27
Belgian Grand Prix: Practice 3 Fastest Lap,Lando Norris,NOR,0.43,,2026-06-20
Belgian Grand Prix: Practice 3 Fastest Lap,Max Verstappen,VER,0.43,,2026-06-20
Belgian Grand Prix: Practice 3 Fastest Lap,Oscar Piastri,PIA,0.43,,2026-06-20
Belgian Grand Prix: Practice 3 Fastest Lap,Isack Hadjar,HAD,0.43,,2026-06-20
Hungarian Grand Prix: Driver Pole Position,Esteban Ocon,OCO,0.43,,2026-06-27
Hungarian Grand Prix: Driver Pole Position,Carlos Sainz Jr.,SAI,0.43,50,2026-06-27
Hungarian Grand Prix: Driver Fastest Lap,Oscar Piastri,PIA,0.43,,2026-06-27
Hungarian Grand Prix: Constructor Fastest Lap,Alpine,,0.43,,2026-06-27
Hungarian Grand Prix: Constructor Fastest Lap,Aston Martin,,0.43,,2026-06-27
Hungarian Grand Prix: Constructor Fastest Lap,Cadillac,,0.43,,2026-06-27
Hungarian Grand Prix: Constructor Fastest Lap,Ferrari,,0.43,,2026-06-27
Hungarian Grand Prix: Practice 1 Fastest Lap,Franco Colapinto,COL,0.43,,2026-06-27
Hungarian Grand Prix: Practice 1 Fastest Lap,Nico Hulkenberg,HUL,0.43,,2026-06-27
Hungarian Grand Prix: Practice 3 Fastest Lap,Lando Norris,NOR,0.43,,2026-06-27
Hungarian Grand Prix: Practice 3 Fastest Lap,Franco Colapinto,COL,0.43,,2026-06-27
Hungarian Grand Prix: Practice 3 Fastest Lap,George Russell,RUS,0.43,,2026-06-27
Hungarian Grand Prix: Practice 3 Fastest Lap,Isack Hadjar,HAD,0.43,,2026-06-27
Hungarian Grand Prix: Driver Pole Position,Max Verstappen,VER,0.425,,2026-06-27
Hungarian Grand Prix: Driver Pole Position,George Russell,RUS,0.425,,2026-06-27
Hungarian Grand Prix: Driver Fastest Lap,Carlos Sainz Jr.,SAI,0.425,,2026-06-27
Hungarian Grand Prix: Practice 1 Fastest Lap,Charles Leclerc,LEC,0.425,,2026-06-27
Hungarian Grand Prix: Practice 1 Fastest Lap,Oliver Bearman,BEA,0.425,,2026-06-27
Hungarian Grand Prix: Practice 2 Fastest Lap,George Russell,RUS,0.425,,2026-06-27
Hungarian Grand Prix: Practice 2 Fastest Lap,Arvid Lindblad,LIN,0.425,,2026-06-27
Hungarian Grand Prix: Practice 3 Fastest Lap,Pierre Gasly,GAS,0.425,,2026-06-27
Hungarian Grand Prix: Practice 3 Fastest Lap,Fernando Alonso,ALO,0.425,,2026-06-27
Hungarian Grand Prix: Practice 3 Fastest Lap,Alexander Albon,ALB,0.425,,2026-06-27
Hungarian Grand Prix: Practice 3 Fastest Lap,Esteban Ocon,OCO,0.425,,2026-06-27
Hungarian Grand Prix: Practice 3 Fastest Lap,Nico Hulkenberg,HUL,0.425,,2026-06-27
Hungarian Grand Prix: Practice 3 Fastest Lap,Valtteri Bottas,BOT,0.425,,2026-06-27
Hungarian Grand Prix: Practice 3 Fastest Lap,Lance Stroll,STR,0.425,,2026-06-27
Belgian Grand Prix: Driver Winner,Kimi Antonelli,ANT,0.42,20805.91675199999,2026-06-20
Hungarian Grand Prix: Driver Pole Position,Fernando Alonso,ALO,0.42,50,2026-06-27
Hungarian Grand Prix: Driver Pole Position,Alexander Albon,ALB,0.42,50,2026-06-27
